Date,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_std,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus1
1750-01-31,104.3,116.7,92.8,141.7,139.2,158.0,110.5,126.5,125.8,264.3,142.0,43.43681474279624,25.5,15349.330000000002,122.2,126.5
1750-02-28,116.7,92.8,141.7,139.2,158.0,110.5,126.5,125.8,264.3,142.0,122.2,42.12107548484488,22.200000000000003,410.52999999999986,126.5,148.7
1750-03-31,92.8,141.7,139.2,158.0,110.5,126.5,125.8,264.3,142.0,122.2,126.5,41.11985530130183,31.999999999999986,511.3299999999995,148.7,147.2
1750-04-30,141.7,139.2,158.0,110.5,126.5,125.8,264.3,142.0,122.2,126.5,148.7,40.631655010458154,54.39999999999999,495.0899999999995,147.2,150.0
1750-05-31,139.2,158.0,110.5,126.5,125.8,264.3,142.0,122.2,126.5,148.7,147.2,37.88529837989049,8.300000000000011,10.090000000000064,150.0,166.7
1750-06-30,158.0,110.5,126.5,125.8,264.3,142.0,122.2,126.5,148.7,147.2,150.0,37.875331865066066,27.5,286.72999999999973,166.7,142.3
1750-07-31,110.5,126.5,125.8,264.3,142.0,122.2,126.5,148.7,147.2,150.0,166.7,38.18041237190726,-15.699999999999989,874.2499999999985,142.3,171.7
1750-08-31,126.5,125.8,264.3,142.0,122.2,126.5,148.7,147.2,150.0,166.7,142.3,38.11968268930545,61.19999999999999,1459.7199999999975,171.7,152.0
1750-09-30,125.8,264.3,142.0,122.2,126.5,148.7,147.2,150.0,166.7,142.3,171.7,36.87173996888855,25.5,1252.4499999999982,152.0,109.5
1750-10-31,264.3,142.0,122.2,126.5,148.7,147.2,150.0,166.7,142.3,171.7,152.0,36.018270826530994,-16.299999999999997,2194.3399999999997,109.5,105.5
1750-11-30,142.0,122.2,126.5,148.7,147.2,150.0,166.7,142.3,171.7,152.0,109.5,37.373820122587894,-158.8,1822.25,105.5,125.7
1750-12-31,122.2,126.5,148.7,147.2,150.0,166.7,142.3,171.7,152.0,109.5,105.5,19.825591976589806,-16.299999999999997,424.04000000000013,125.7,116.7
1751-01-31,126.5,148.7,147.2,150.0,166.7,142.3,171.7,152.0,109.5,105.5,125.7,20.22102865830519,-5.5,489.04000000000013,116.7,72.5
1751-02-28,148.7,147.2,150.0,166.7,142.3,171.7,152.0,109.5,105.5,125.7,116.7,20.654315865912594,-54.0,2034.6400000000003,72.5,75.5
1751-03-31,147.2,150.0,166.7,142.3,171.7,152.0,109.5,105.5,125.7,116.7,72.5,27.5268189932816,-73.19999999999999,1962.6400000000003,75.5,94.0
1751-04-30,150.0,166.7,142.3,171.7,152.0,109.5,105.5,125.7,116.7,72.5,75.5,31.43571372216992,-53.19999999999999,351.25,94.0,101.2
1751-05-31,166.7,142.3,171.7,152.0,109.5,105.5,125.7,116.7,72.5,75.5,94.0,32.15036180027977,-48.8,394.09000000000003,101.2,84.5
1751-06-30,142.3,171.7,152.0,109.5,105.5,125.7,116.7,72.5,75.5,94.0,101.2,31.624290725467482,-82.19999999999999,330.73000000000013,84.5,110.5
1751-07-31,171.7,152.0,109.5,105.5,125.7,116.7,72.5,75.5,94.0,101.2,84.5,29.47548298539351,-31.80000000000001,954.8900000000001,110.5,99.7
